algorithm,execution_time_ms,peak_memory_kb,mst_weight,trial,nodes,edges,density_ratio,graph_type
Kruskal_Classic,59.041300002718344,103.390625,215,1,200,5155,0.2590452261306533,medium
Kruskal_Classic,119.31999999796972,103.390625,215,2,200,5155,0.2590452261306533,medium
Kruskal_Classic,52.063499999349006,103.390625,215,3,200,5155,0.2590452261306533,medium
Kruskal_Optimized,48.548200000368524,63.2109375,215,1,200,5155,0.2590452261306533,medium
Kruskal_Optimized,49.92810000112513,63.2109375,215,2,200,5155,0.2590452261306533,medium
Kruskal_Optimized,41.42229999706615,63.2109375,215,3,200,5155,0.2590452261306533,medium
Prim_Classic,271.6608999980963,980.578125,353,1,350,15564,0.2548342202210397,medium
Prim_Classic,202.39299999957439,980.578125,353,2,350,15564,0.2548342202210397,medium
Prim_Classic,278.9069999998901,980.578125,353,3,350,15564,0.2548342202210397,medium
Prim_Optimized,154.86389999568928,855.21875,353,1,350,15564,0.2548342202210397,medium
Prim_Optimized,89.0136000016355,855.1640625,353,2,350,15564,0.2548342202210397,medium
Prim_Optimized,134.2923000047449,855.1640625,353,3,350,15564,0.2548342202210397,medium
Kruskal_Classic,230.9324000016204,259.0859375,353,1,350,15564,0.2548342202210397,medium
Kruskal_Classic,239.9606000035419,259.0859375,353,2,350,15564,0.2548342202210397,medium
Kruskal_Classic,163.46640000119805,259.0859375,353,3,350,15564,0.2548342202210397,medium
Kruskal_Optimized,259.7739000048023,188.484375,353,1,350,15564,0.2548342202210397,medium
Kruskal_Optimized,115.60620000091149,188.421875,353,2,350,15564,0.2548342202210397,medium
Kruskal_Optimized,148.89940000284696,188.421875,353,3,350,15564,0.2548342202210397,medium
Prim_Classic,622.6652000041213,1988.53125,500,1,500,31632,0.253563126252505,medium
Prim_Classic,669.8745999965467,1988.53125,500,2,500,31632,0.253563126252505,medium
Prim_Classic,465.7980999982101,1988.53125,500,3,500,31632,0.253563126252505,medium
Prim_Optimized,166.90379999636207,1813.0546875,500,1,500,31632,0.253563126252505,medium
Prim_Optimized,113.37360000470653,1813.0,500,2,500,31632,0.253563126252505,medium
Prim_Optimized,90.54530000139493,1813.0,500,3,500,31632,0.253563126252505,medium
