algorithm,algorithm_family,execution_time_ms,peak_memory_kb,reachable_distances,trial,nodes,edges,density_ratio,graph_type
FloydWarshall_Classic,all_pairs,356.3958999948227,80.3828125,10000,4,100,3498,0.35333333333333333,medium
FloydWarshall_Classic,all_pairs,243.79039999621455,80.3828125,10000,5,100,3498,0.35333333333333333,medium
FloydWarshall_Optimized,all_pairs,297.0165000006091,80.3125,10000,1,100,3498,0.35333333333333333,medium
FloydWarshall_Optimized,all_pairs,658.7600999991992,80.3359375,10000,2,100,3498,0.35333333333333333,medium
FloydWarshall_Optimized,all_pairs,405.0749000016367,80.3359375,10000,3,100,3498,0.35333333333333333,medium
FloydWarshall_Optimized,all_pairs,299.0378000031342,80.3359375,10000,4,100,3498,0.35333333333333333,medium
FloydWarshall_Optimized,all_pairs,517.1105999979773,80.3359375,10000,5,100,3498,0.35333333333333333,medium
FloydWarshall_Classic,all_pairs,453.43720000528265,125.828125,15625,1,125,5390,0.34774193548387095,medium
FloydWarshall_Classic,all_pairs,566.9228999977349,125.8515625,15625,2,125,5390,0.34774193548387095,medium
FloydWarshall_Classic,all_pairs,484.7747999956482,125.8515625,15625,3,125,5390,0.34774193548387095,medium
FloydWarshall_Classic,all_pairs,549.4598000004771,125.8515625,15625,4,125,5390,0.34774193548387095,medium
FloydWarshall_Classic,all_pairs,594.7195999979158,125.8515625,15625,5,125,5390,0.34774193548387095,medium
FloydWarshall_Optimized,all_pairs,655.1958000054583,125.78125,15625,1,125,5390,0.34774193548387095,medium
FloydWarshall_Optimized,all_pairs,621.1728999987827,125.8046875,15625,2,125,5390,0.34774193548387095,medium
FloydWarshall_Optimized,all_pairs,772.8390999982366,125.8046875,15625,3,125,5390,0.34774193548387095,medium
FloydWarshall_Optimized,all_pairs,563.1318000014289,125.8046875,15625,4,125,5390,0.34774193548387095,medium
FloydWarshall_Optimized,all_pairs,724.2047000036109,125.8046875,15625,5,125,5390,0.34774193548387095,medium
FloydWarshall_Classic,all_pairs,6.478099996456876,5.3203125,625,1,25,395,0.6583333333333333,dense
FloydWarshall_Classic,all_pairs,5.665900003805291,5.34375,625,2,25,395,0.6583333333333333,dense
FloydWarshall_Classic,all_pairs,5.674699998053256,5.34375,625,3,25,395,0.6583333333333333,dense
