        graph_type     algorithm  nodes  median_time_ms  median_memory_kb  median_vertices_visited    edges  density_percent  success_rate
     strip_weights DFS_Optimized    500         30.3926        341.320312                    500.0  37517.0            30.07           1.0
     strip_weights DFS_Optimized   1000         80.3021       1294.226562                   1000.0 149928.0            30.02           1.0
              tree BFS_Optimized     10          0.0234          1.898438                     10.0      9.0            20.00           1.0
              tree BFS_Optimized     50          0.1394          3.804688                     50.0     49.0             4.00           1.0
              tree BFS_Optimized    100          0.1322         12.289062                    100.0     99.0             2.00           1.0
              tree BFS_Optimized    200          0.2433         12.039062                    200.0    199.0             1.00           1.0
              tree BFS_Optimized    500          1.2128         44.117188                    500.0    499.0             0.40           1.0
              tree BFS_Optimized   1000          2.2001         44.164062                   1000.0    999.0             0.20           1.0
              tree DFS_Optimized     10          0.0339          1.257812                     10.0      9.0            20.00           1.0
              tree DFS_Optimized     50          0.2705          3.265625                     50.0     49.0             4.00           1.0
              tree DFS_Optimized    100          0.2463         11.203125                    100.0     99.0             2.00           1.0
              tree DFS_Optimized    200          0.4593         11.296875                    200.0    199.0             1.00           1.0
              tree DFS_Optimized    500          1.8542         43.109375                    500.0    499.0             0.40           1.0
              tree DFS_Optimized   1000          4.1219         43.046875                   1000.0    999.0             0.20           1.0
    weighted_graph BFS_Optimized     10          0.0275          1.968750                     10.0     16.0            35.56           1.0
    weighted_graph BFS_Optimized     50          0.1827          3.804688                     50.0    380.0            31.02           1.0
    weighted_graph BFS_Optimized    100          0.5173         11.820312                    100.0   1505.0            30.40           1.0
    weighted_graph BFS_Optimized    200          0.7845         12.382812                    200.0   6105.0            30.68           1.0
    weighted_graph BFS_Optimized    500          5.8460         43.367188                    500.0  37262.0            29.87           1.0
    weighted_graph BFS_Optimized   1000         17.2463         49.601562                   1000.0 149207.0            29.87           1.0
    weighted_graph DFS_Optimized     10          0.0385          1.351562                     10.0     16.0            35.56           1.0
    weighted_graph DFS_Optimized     50          0.2802          5.757812                     50.0    380.0            31.02           1.0
    weighted_graph DFS_Optimized    100          1.1485         22.046875                    100.0   1505.0            30.40           1.0
    weighted_graph DFS_Optimized    200          1.7406         61.945312                    200.0   6105.0            30.68           1.0
    weighted_graph DFS_Optimized    500         28.4026        341.320312                    500.0  37262.0            29.87           1.0
    weighted_graph DFS_Optimized   1000         66.7668       1294.226562                   1000.0 149207.0            29.87           1.0
       wheel_graph BFS_Optimized     10          0.0242          1.898438                     10.0     18.0            40.00           1.0
       wheel_graph BFS_Optimized     50          0.0736          3.804688                     50.0     98.0             8.00           1.0
       wheel_graph BFS_Optimized    100          0.5594         11.820312                    100.0    198.0             4.00           1.0
       wheel_graph BFS_Optimized    200          0.2981         12.382812                    200.0    398.0             2.00           1.0
       wheel_graph BFS_Optimized    500          1.4947         43.367188                    500.0    998.0             0.80           1.0
       wheel_graph BFS_Optimized   1000          1.2530         49.601562                   1000.0   1998.0             0.40           1.0
       wheel_graph DFS_Optimized     10          0.0377          1.351562                     10.0     18.0            40.00           1.0
       wheel_graph DFS_Optimized     50          0.2724          3.578125                     50.0     98.0             8.00           1.0
       wheel_graph DFS_Optimized    100          0.5715         11.921875                    100.0    198.0             4.00           1.0
       wheel_graph DFS_Optimized    200          0.4900         12.640625                    200.0    398.0             2.00           1.0
       wheel_graph DFS_Optimized    500          2.6596         46.953125                    500.0    998.0             0.80           1.0
       wheel_graph DFS_Optimized   1000          4.9883         51.484375                   1000.0   1998.0             0.40           1.0
