nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
606,43.59375,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
616,43.59375,43.1875,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
627,43.59375,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
637,43.59375,43.1875,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
647,43.59375,43.1875,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625
657,43.84375,43.1875,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625
667,43.84375,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625,43.40625
677,43.59375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375
687,43.59375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375
697,43.84375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375,44.09375
707,43.84375,44.09375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375
717,43.59375,44.09375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375
727,43.59375,44.09375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375
737,43.59375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375
747,43.59375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375
758,43.59375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375,44.609375
768,43.59375,45.390625,45.390625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625
778,43.59375,45.390625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625
788,43.703125,45.390625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625
798,43.890625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625
808,43.375,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625
818,43.59375,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625
828,43.375,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625,45.90625
838,43.375,45.90625,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875
848,43.375,45.90625,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875
858,43.890625,45.90625,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875,46.421875
868,43.59375,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875
879,43.59375,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875
889,43.59375,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875,47.296875
899,43.703125,47.296875,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125
909,43.890625,47.296875,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125
919,43.375,47.296875,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125
929,43.375,47.296875,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125
939,43.59375,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125
949,43.59375,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125
959,43.375,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125,47.8125
969,43.59375,47.8125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125,48.328125
979,43.890625,48.8125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125
989,43.890625,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125
1000,43.703125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125,49.328125
