nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
637,42.7734375,120.703125,206.484375,278.234375,380.359375,471.484375,525.765625,655.515625,732.796875,819.734375,917.546875,917.546875,1027.578125,1151.359375,1151.359375,1290.609375,1447.265625,1447.265625,1623.515625,1623.515625,1623.515625
647,42.8671875,120.703125,206.484375,308.359375,380.359375,471.484375,586.828125,655.515625,732.796875,819.734375,917.546875,1027.578125,1027.578125,1151.359375,1290.609375,1290.609375,1447.265625,1447.265625,1623.515625,1623.515625,1821.796875
657,42.7734375,131.140625,206.484375,308.359375,380.359375,471.484375,586.828125,655.515625,732.796875,819.734375,917.546875,1027.578125,1151.359375,1151.359375,1290.609375,1447.265625,1447.265625,1623.515625,1623.515625,1821.796875,1821.796875
667,42.8671875,131.140625,227.640625,308.359375,423.234375,471.484375,586.828125,655.515625,732.796875,819.734375,917.546875,1027.578125,1151.359375,1290.609375,1290.609375,1447.265625,1447.265625,1623.515625,1623.515625,1821.796875,1821.796875
677,42.8046875,131.828125,228.328125,309.046875,423.921875,526.453125,587.515625,733.484375,820.421875,918.234375,1028.265625,1028.265625,1152.046875,1291.296875,1291.296875,1447.953125,1624.203125,1624.203125,1822.484375,1822.484375,1822.484375
687,42.7734375,131.828125,228.328125,342.921875,423.921875,526.453125,656.203125,733.484375,820.421875,918.234375,1028.265625,1152.046875,1152.046875,1291.296875,1447.953125,1447.953125,1624.203125,1624.203125,1822.484375,1822.484375,2045.546875
697,42.8359375,143.578125,228.328125,342.921875,423.921875,526.453125,656.203125,733.484375,820.421875,918.234375,1028.265625,1152.046875,1291.296875,1291.296875,1447.953125,1624.203125,1624.203125,1822.484375,1822.484375,2045.546875,2045.546875
707,42.7734375,143.578125,252.140625,342.921875,472.171875,526.453125,656.203125,733.484375,820.421875,918.234375,1028.265625,1152.046875,1291.296875,1447.953125,1447.953125,1624.203125,1624.203125,1822.484375,1822.484375,2045.546875,2045.546875
717,43.0234375,143.578125,252.140625,342.921875,472.171875,587.515625,656.203125,820.421875,918.234375,1028.265625,1152.046875,1152.046875,1291.296875,1447.953125,1447.953125,1624.203125,1822.484375,1822.484375,2045.546875,2045.546875,2045.546875
727,42.7421875,143.578125,252.140625,381.046875,472.171875,587.515625,656.203125,820.421875,918.234375,1028.265625,1152.046875,1291.296875,1291.296875,1447.953125,1624.203125,1624.203125,1822.484375,1822.484375,2045.546875,2045.546875,2296.484375
737,42.7109375,156.796875,252.140625,381.046875,472.171875,587.515625,733.484375,820.421875,918.234375,1028.265625,1152.046875,1291.296875,1447.953125,1447.953125,1624.203125,1624.203125,1822.484375,2045.546875,2045.546875,2296.484375,2296.484375
747,42.7421875,156.796875,278.921875,381.046875,526.453125,587.515625,733.484375,820.421875,918.234375,1028.265625,1152.046875,1291.296875,1447.953125,1624.203125,1624.203125,1822.484375,1822.484375,2045.546875,2045.546875,2296.484375,2296.484375
758,42.8984375,156.796875,278.921875,381.046875,526.453125,656.203125,733.484375,918.234375,1028.265625,1152.046875,1291.296875,1291.296875,1447.953125,1624.203125,1624.203125,1822.484375,2045.546875,2045.546875,2296.484375,2296.484375,2296.484375
768,42.8671875,157.578125,279.703125,424.703125,527.234375,656.984375,734.265625,919.015625,1029.046875,1152.828125,1292.078125,1448.734375,1448.734375,1624.984375,1823.265625,1823.265625,2046.328125,2046.328125,2297.265625,2297.265625,2579.578125
778,42.9609375,157.578125,279.703125,424.703125,527.234375,656.984375,821.203125,919.015625,1029.046875,1152.828125,1292.078125,1448.734375,1624.984375,1624.984375,1823.265625,1823.265625,2046.328125,2046.328125,2297.265625,2297.265625,2579.578125
788,42.8984375,172.421875,309.828125,424.703125,527.234375,656.984375,821.203125,919.015625,1029.046875,1152.828125,1292.078125,1448.734375,1624.984375,1624.984375,1823.265625,2046.328125,2046.328125,2297.265625,2297.265625,2579.578125,2579.578125
798,42.7734375,172.421875,309.828125,424.703125,588.296875,734.265625,821.203125,919.015625,1152.828125,1292.078125,1292.078125,1448.734375,1624.984375,1823.265625,1823.265625,2046.328125,2046.328125,2297.265625,2297.265625,2579.578125,2579.578125
808,42.8984375,172.421875,309.828125,424.703125,588.296875,734.265625,821.203125,1029.046875,1152.828125,1292.078125,1448.734375,1448.734375,1624.984375,1823.265625,1823.265625,2046.328125,2297.265625,2297.265625,2579.578125,2579.578125,2897.171875
818,42.9609375,172.421875,309.828125,472.953125,588.296875,734.265625,821.203125,1029.046875,1152.828125,1292.078125,1448.734375,1624.984375,1624.984375,1823.265625,2046.328125,2046.328125,2297.265625,2297.265625,2579.578125,2579.578125,2897.171875
828,42.8984375,189.140625,309.828125,472.953125,588.296875,734.265625,919.015625,1029.046875,1152.828125,1292.078125,1448.734375,1624.984375,1823.265625,1823.265625,2046.328125,2046.328125,2297.265625,2579.578125,2579.578125,2579.578125,2897.171875
838,42.9609375,189.140625,343.703125,472.953125,588.296875,734.265625,919.015625,1029.046875,1152.828125,1292.078125,1448.734375,1624.984375,1823.265625,1823.265625,2046.328125,2297.265625,2297.265625,2579.578125,2579.578125,2897.171875,2897.171875
848,42.9296875,189.140625,343.703125,472.953125,656.984375,821.203125,919.015625,1029.046875,1292.078125,1448.734375,1448.734375,1624.984375,1823.265625,2046.328125,2046.328125,2297.265625,2297.265625,2579.578125,2579.578125,2897.171875,2897.171875
858,42.8671875,189.140625,343.703125,472.953125,656.984375,821.203125,919.015625,1152.828125,1292.078125,1448.734375,1624.984375,1624.984375,1823.265625,2046.328125,2046.328125,2297.265625,2579.578125,2579.578125,2897.171875,2897.171875,3254.484375
