nodes,density_percent,BFS,DFS_Iterative,speed_ratio_dfs_over_bfs
122,15,0.2133500001946231,0.5193500001041684,2.434262946474828
122,20,0.23855000017647393,0.5715500001315377,2.3959337652849206
122,25,0.2617000004647707,0.6389499994838843,2.441536103741421
122,30,0.2897499998653075,0.6829499998275423,2.3570319245729663
122,35,0.3079499997511448,1.0369500000706466,3.3672674164916665
122,40,0.340900000082911,1.81155000018407,5.314021706493046
122,45,0.36165000028631766,0.8936500003073888,2.4710355304849654
122,50,0.3806499998972867,0.9215000000040162,2.420859057540183
122,55,0.39589999960298883,1.0041000005003298,2.5362465307078756
122,60,0.4131000000597851,1.0570500007816008,2.558823530933482
122,65,0.4359499998827232,1.1069500001212873,2.539167336664922
122,70,0.4595000000335858,1.1876999997184612,2.584766049252774
122,75,0.48754999988886993,1.2570500002766494,2.5782996627282864
122,80,0.5046500004937116,1.296149999689078,2.5684137489765626
122,85,0.5407999997260049,1.3736000000790227,2.539940829835344
122,90,0.5537000001822889,1.479150000250229,2.6713924503580704
122,95,0.5718499996874016,1.5463500003534136,2.704118214914255
122,100,0.683000000208267,1.6530999996575702,2.4203513896830025
133,0,0.16704999961802963,0.37019999990661745,2.216102967692925
133,5,0.20365000000310823,0.4271500001777895,2.0974711523263934
133,10,0.21259999994072132,0.4908500004603411,2.3087958635804493
133,15,0.24160000020856381,0.5722999999306921,2.3687913883967218
133,20,0.2689999996619008,0.641549999727431,2.384944239902523
133,25,0.29395000046861236,0.7252000000335102,2.4670862353373124
133,30,0.3341500005262787,0.8044499995776278,2.407451738173387
133,35,0.5685499995706778,2.4747500001467415,4.352739428397625
133,40,0.387499999760621,1.4769999997952254,3.8116129050519887
133,45,0.3972499998781131,1.0094999997818377,2.541220893874334
133,50,0.4223999999339867,1.0827500004779722,2.5633286000170123
133,55,0.47214999949574116,1.1482499994599493,2.43196018359904
133,60,0.48200000037468266,1.250249999884545,2.5938796657939074
133,65,0.5084499998702086,1.3667000002897112,2.6879732532964637
133,70,0.5392500002017186,1.4040999999451742,2.6038015751876475
133,75,0.5697500000678701,1.4568499996130413,2.5569986826494033
133,80,0.5874499997844396,1.5423000004375353,2.6254149306383026
133,85,0.6236500003069523,1.59445000008418,2.55664234634717
133,90,0.6352000000333646,1.7497499998171406,2.754644206116551
133,95,0.6680500005131762,1.8292999998266168,2.7382680913425683
133,100,0.7014500001787383,1.9389999997656557,2.7642740028107124
143,0,0.1661500000409432,0.32625000039843144,1.963587121986373
143,5,0.20304999998188575,0.4361500000413798,2.1479931055419312
143,10,0.24050000001807345,0.52624999989348,2.188149687542339
143,15,0.2648999998200452,0.6162999998196028,2.3265383172452796
143,20,0.31409999974130187,1.1850500000036845,3.772843046735791
143,25,0.7197999998425075,2.4377999998250743,3.386774104415762
143,30,0.3597500003706955,1.0839999999916472,3.01320361049247
143,35,0.3971000001001812,0.99019999970551,2.4935784423462612
143,40,0.42274999987057527,1.0545000004640315,2.494382024333214
143,45,0.4551500001070963,1.142800000252464,2.5108206085544644
143,50,0.487400000110938,1.2609999998858257,2.5871973729971423
143,55,0.5039000002398097,1.335200000085024,2.649732088608042
