algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
DFS_Base,0.308899994706735,1.265625,50,True,3,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Base,0.2998999989358708,1.265625,50,True,4,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Base,0.2967000036733225,1.265625,50,True,5,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Base,0.20640000002458692,1.1953125,50,True,1,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Base,0.1953999963006936,1.1953125,50,True,2,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Base,0.19330000213813037,1.1953125,50,True,3,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Base,0.19220000103814527,1.1953125,50,True,4,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Base,0.19220000103814527,1.1953125,50,True,5,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Base,0.3237000055378303,1.234375,50,True,1,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Base,0.31830000079935417,1.234375,50,True,2,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Base,0.3297000002930872,1.234375,50,True,3,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Base,0.32559999817749485,1.234375,50,True,4,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Base,0.3279000011389144,1.234375,50,True,5,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
