algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
BFS_Optimized,0.12549999519251287,3.8046875,50,True,5,50,919,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=50; E=919; fill=75.02%,75
DFS_Optimized,0.37000000156695023,12.7265625,50,True,1,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
DFS_Optimized,0.3473999968264252,12.7265625,50,True,2,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
DFS_Optimized,0.3437999985180795,12.7265625,50,True,3,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
DFS_Optimized,0.3428999989409931,12.7265625,50,True,4,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
DFS_Optimized,0.3471000018180348,12.7265625,50,True,5,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
BFS_Optimized,0.3780000042752363,3.8046875,50,True,1,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
BFS_Optimized,0.14379999629454687,3.8046875,50,True,2,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
BFS_Optimized,0.6473000030382536,3.8046875,50,True,3,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
BFS_Optimized,0.14869999722577631,3.8046875,50,True,4,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
BFS_Optimized,0.14479999663308263,3.8046875,50,True,5,50,1225,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100
DFS_Optimized,0.4853999998886138,20.6484375,100,True,1,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
DFS_Optimized,0.2708000029087998,11.140625,100,True,2,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
DFS_Optimized,0.27100000443169847,11.140625,100,True,3,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
DFS_Optimized,0.3552999987732619,11.140625,100,True,4,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
DFS_Optimized,0.27070000214735046,11.140625,100,True,5,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
BFS_Optimized,0.3974999999627471,11.140625,100,True,1,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
BFS_Optimized,4.120999998121988,11.140625,100,True,2,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
BFS_Optimized,0.39039999683154747,11.140625,100,True,3,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
BFS_Optimized,0.38359999598469585,11.140625,100,True,4,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
BFS_Optimized,0.3955000065616332,11.140625,100,True,5,100,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=100; E=0; fill=0.00%,0
DFS_Optimized,0.9381000054418109,20.796875,100,True,1,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
DFS_Optimized,0.8562000002712011,20.796875,100,True,2,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
DFS_Optimized,0.875699995958712,20.796875,100,True,3,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
DFS_Optimized,0.8430000016232952,20.796875,100,True,4,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
DFS_Optimized,0.8317999963765033,20.796875,100,True,5,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
BFS_Optimized,0.418399999034591,11.8203125,100,True,1,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
BFS_Optimized,0.39370000013150275,11.8203125,100,True,2,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
BFS_Optimized,0.40219999937107787,11.8203125,100,True,3,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
BFS_Optimized,0.3916000059689395,11.8203125,100,True,4,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
BFS_Optimized,0.3941999966627918,11.8203125,100,True,5,100,1238,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=100; E=1238; fill=25.01%,25
DFS_Optimized,0.8024999988265336,31.078125,100,True,1,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
DFS_Optimized,0.6524999989778735,31.078125,100,True,2,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
DFS_Optimized,0.6423000013455749,31.078125,100,True,3,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
DFS_Optimized,0.847700001031626,31.078125,100,True,4,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
DFS_Optimized,1.259500000742264,31.078125,100,True,5,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
BFS_Optimized,0.5261000042082742,11.8203125,100,True,1,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
BFS_Optimized,0.5766999965999275,11.8203125,100,True,2,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
BFS_Optimized,24.34299999731593,11.8203125,100,True,3,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
BFS_Optimized,0.2806999982567504,11.8203125,100,True,4,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
BFS_Optimized,0.27709999994840473,11.8203125,100,True,5,100,2475,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=100; E=2475; fill=50.00%,50
DFS_Optimized,1.4133999939076602,43.296875,100,True,1,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
DFS_Optimized,1.621399998839479,43.296875,100,True,2,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
DFS_Optimized,1.5856999962124974,43.296875,100,True,3,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
DFS_Optimized,1.64789999689674,43.296875,100,True,4,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
DFS_Optimized,1.6434999997727573,43.296875,100,True,5,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
BFS_Optimized,0.7085999968694523,11.8203125,100,True,1,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
BFS_Optimized,0.6833999941591173,11.8203125,100,True,2,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
BFS_Optimized,0.6893000027048402,11.8203125,100,True,3,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
BFS_Optimized,0.6886999981361441,11.8203125,100,True,4,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
